reference	query	C	I_local	I_global
AS0200_contig00032_len4551	AS0200_contig00032_len4551	1.0	1.0	1.0
AS0200_contig00032_len4551	AS0218_contig00018_len4550	1.0	0.9995709075305729	0.9995709075305729
AS0200_contig00032_len4551	AS0290_contig00020_len4612	1.0	0.9949184840143976	0.9949184840143976
AS0200_contig00032_len4551	AS0304_contig00017_len4550	1.0	0.9995709075305729	0.9995709075305729
AS0200_contig00032_len4551	AS0602_contig00018_len4542	1.0	0.995056952503761	0.995056952503761
AS0200_contig00032_len4551	AS0750_contig00014_len4609_RC	0.9644174441310479	0.9874890254609306	0.95235164204249
AS0200_contig00032_len4551	AS0885_contig00017_len4551	1.0	0.9974259974259975	0.9974259974259975
AS0200_contig00032_len4551	AS1268_contig00020_len4560_RC	1.0	0.9970027831299507	0.9970027831299507
AS0200_contig00032_len4551	AS1297_contig00016_len4550	1.0	0.9995709075305729	0.9995709075305729
AS0200_contig00032_len4551	AS1305_contig00017_len4550	1.0	0.9995709075305729	0.9995709075305729
AS0200_contig00032_len4551	AS1312_contig00019_len4957	0.8228767399636877	0.9587112171837708	0.7889011609628003
AS0200_contig00032_len4551	AS1314_contig00014_len4551	1.0	0.996996996996997	0.996996996996997
AS0200_contig00032_len4551	AS1316_contig00016_len4531_RC	1.0	0.997414907367514	0.997414907367514
AS0200_contig00032_len4551	AS1320_contig00017_len4609_RC	0.9644174441310479	0.9877085162423178	0.9525633227808857
AS0200_contig00032_len4551	AS1347_contig00019_len4530	1.0	0.9995690583925878	0.9995690583925878
AS0200_contig00032_len4551	AS1350_contig00018_len4551_RC	1.0	0.9974259974259975	0.9974259974259975
AS0200_contig00032_len4551	CP038249.1	1.0	0.9995604395604396	0.9995604395604396
AS0200_contig00032_len4551	CP094730.1	1.0	0.9995604395604396	0.9995604395604396
AS0200_contig00032_len4551	MH785224.1	0.9635393508225878	0.9874015748031496	0.9514002723870276
AS0218_contig00018_len4550	AS0200_contig00032_len4551	1.0	0.9995709995709996	0.9995709995709996
AS0218_contig00018_len4550	AS0218_contig00018_len4550	1.0	1.0	1.0
AS0218_contig00018_len4550	AS0290_contig00020_len4612	1.0	0.9953419436798645	0.9953419436798645
AS0218_contig00018_len4550	AS0304_contig00017_len4550	1.0	1.0	1.0
AS0218_contig00018_len4550	AS0602_contig00018_len4542	1.0	0.9954867827208252	0.9954867827208252
AS0218_contig00018_len4550	AS0750_contig00014_len4609_RC	0.9644174441310479	0.9881474978050921	0.9529866842576772
AS0218_contig00018_len4550	AS0885_contig00017_len4551	1.0	0.9978549978549979	0.9978549978549979
AS0218_contig00018_len4550	AS1268_contig00020_len4560_RC	1.0	0.9976450438878185	0.9976450438878185
AS0218_contig00018_len4550	AS1297_contig00016_len4550	1.0	1.0	1.0
AS0218_contig00018_len4550	AS1305_contig00017_len4550	1.0	1.0	1.0
AS0218_contig00018_len4550	AS1312_contig00019_len4957	0.8228767399636877	0.9569377990430622	0.7874418564245815
AS0218_contig00018_len4550	AS1314_contig00014_len4551	1.0	0.9974259974259975	0.9974259974259975
AS0218_contig00018_len4550	AS1316_contig00016_len4531_RC	1.0	0.997845756139595	0.997845756139595
AS0218_contig00018_len4550	AS1320_contig00017_len4609_RC	0.9644174441310479	0.9881474978050921	0.9529866842576772
AS0218_contig00018_len4550	AS1347_contig00019_len4530	1.0	1.0	1.0
AS0218_contig00018_len4550	AS1350_contig00018_len4551_RC	1.0	0.9978549978549979	0.9978549978549979
AS0218_contig00018_len4550	CP038249.1	1.0	1.0	1.0
AS0218_contig00018_len4550	CP094730.1	1.0	1.0	1.0
AS0218_contig00018_len4550	MH785224.1	0.9635393508225878	0.9878515185601799	0.9518338109025833
AS0290_contig00020_len4612	AS0200_contig00032_len4551	1.0	0.9949281487743026	0.9949281487743026
AS0290_contig00020_len4612	AS0218_contig00018_len4550	1.0	0.9953498203339675	0.9953498203339675
AS0290_contig00020_len4612	AS0290_contig00020_len4612	1.0	1.0	1.0
AS0290_contig00020_len4612	AS0304_contig00017_len4550	1.0	0.9953846153846154	0.9953846153846154
AS0290_contig00020_len4612	AS0602_contig00018_len4542	1.0	0.9997882701672666	0.9997882701672666
AS0290_contig00020_len4612	AS0750_contig00014_len4609_RC	0.9644174441310479	0.9848681366191094	0.9498240111243093
AS0290_contig00020_len4612	AS0885_contig00017_len4551	1.0	0.9919695688926459	0.9919695688926459
AS0290_contig00020_len4612	AS1268_contig00020_len4560_RC	1.0	0.9938831470153976	0.9938831470153976
AS0290_contig00020_len4612	AS1297_contig00016_len4550	1.0	0.9953498203339675	0.9953498203339675
AS0290_contig00020_len4612	AS1305_contig00017_len4550	1.0	0.9953498203339675	0.9953498203339675
AS0290_contig00020_len4612	AS1312_contig00019_len4957	0.8228767399636877	0.9610328638497653	0.7908115900026614
AS0290_contig00020_len4612	AS1314_contig00014_len4551	1.0	0.9978867286559594	0.9978867286559594
AS0290_contig00020_len4612	AS1316_contig00016_len4531_RC	1.0	0.9940577249575552	0.9940577249575552
AS0290_contig00020_len4612	AS1320_contig00017_len4609_RC	0.9644174441310479	0.9848681366191094	0.9498240111243093
AS0290_contig00020_len4612	AS1347_contig00019_len4530	1.0	0.9953300785395882	0.9953300785395882
AS0290_contig00020_len4612	AS1350_contig00018_len4551_RC	1.0	0.9940828402366864	0.9940828402366864
AS0290_contig00020_len4612	CP038249.1	1.0	0.9952380952380953	0.9952380952380953
AS0290_contig00020_len4612	CP094730.1	1.0	0.9952380952380953	0.9952380952380953
AS0290_contig00020_len4612	MH785224.1	0.9635393508225878	0.9844961240310077	0.948600756236191
AS0304_contig00017_len4550	AS0200_contig00032_len4551	1.0	0.9995709995709996	0.9995709995709996
AS0304_contig00017_len4550	AS0218_contig00018_len4550	1.0	1.0	1.0
AS0304_contig00017_len4550	AS0290_contig00020_len4612	0.9848222029488292	0.9953764861294584	0.9802688638334779
AS0304_contig00017_len4550	AS0304_contig00017_len4550	1.0	1.0	1.0
AS0304_contig00017_len4550	AS0602_contig00018_len4542	1.0	0.9954867827208252	0.9954867827208252
AS0304_contig00017_len4550	AS0750_contig00014_len4609_RC	0.9644174441310479	0.9881474978050921	0.9529866842576772
AS0304_contig00017_len4550	AS0885_contig00017_len4551	1.0	0.9978549978549979	0.9978549978549979
AS0304_contig00017_len4550	AS1268_contig00020_len4560_RC	1.0	0.9976450438878185	0.9976450438878185
AS0304_contig00017_len4550	AS1297_contig00016_len4550	1.0	1.0	1.0
AS0304_contig00017_len4550	AS1305_contig00017_len4550	1.0	1.0	1.0
AS0304_contig00017_len4550	AS1312_contig00019_len4957	0.8228767399636877	0.9591885441527447	0.7892939422229263
AS0304_contig00017_len4550	AS1314_contig00014_len4551	1.0	0.9974259974259975	0.9974259974259975
AS0304_contig00017_len4550	AS1316_contig00016_len4531_RC	1.0	0.997845756139595	0.997845756139595
AS0304_contig00017_len4550	AS1320_contig00017_len4609_RC	0.9644174441310479	0.9881474978050921	0.9529866842576772
AS0304_contig00017_len4550	AS1347_contig00019_len4530	1.0	1.0	1.0
AS0304_contig00017_len4550	AS1350_contig00018_len4551_RC	1.0	0.9978549978549979	0.9978549978549979
AS0304_contig00017_len4550	CP038249.1	1.0	1.0	1.0
AS0304_contig00017_len4550	CP094730.1	1.0	1.0	1.0
AS0304_contig00017_len4550	MH785224.1	0.9635393508225878	0.9878515185601799	0.9518338109025833
AS0602_contig00018_len4542	AS0200_contig00032_len4551	1.0	0.995066495066495	0.995066495066495
AS0602_contig00018_len4542	AS0218_contig00018_len4550	1.0	0.9954945290710148	0.9954945290710148
AS0602_contig00018_len4542	AS0290_contig00020_len4612	1.0	0.9997882701672666	0.9997882701672666
AS0602_contig00018_len4542	AS0304_contig00017_len4550	1.0	0.9954945290710148	0.9954945290710148
